input,expected,input_locale,comment
"I have eggs and butter","{""add"":[""butter"",""egg""],""rm"":[]}",en,Basic addition
"add some tomatoes please","{""add"":[""tomato""],""rm"":[]}",en,Polite request
"I bought chicken and rice","{""add"":[""chicken"",""rice""],""rm"":[]}",en,Past tense purchase
"remove the milk","{""add"":[],""rm"":[""milk""]}",en,Simple removal
"I'm out of bread","{""add"":[],""rm"":[""bread""]}",en,Idiomatic removal
"no more cheese left","{""add"":[],""rm"":[""cheese""]}",en,Depletion statement
"I have uh... some pasta and um... garlic","{""add"":[""garlic"",""pasta""],""rm"":[]}",en,Hesitation with fillers
"got bacon and onions from the store","{""add"":[""bacon"",""onion""],""rm"":[]}",en,Casual past tense
"ran out of olive oil","{""add"":[],""rm"":[""olive oil""]}",en,Compound ingredient removal
"add mushrooms tomatoes and cream","{""add"":[""cream"",""mushroom"",""tomato""],""rm"":[]}",en,Multiple items no punctuation
"I need to remove salt and pepper","{""add"":[],""rm"":[""pepper"",""salt""]}",en,Explicit removal intent
"just picked up some noodles","{""add"":[""noodle""],""rm"":[]}",en,Casual addition
"delete the honey","{""add"":[],""rm"":[""honey""]}",en,Delete verb
"I have like... maybe three eggs?","{""add"":[""egg""],""rm"":[]}",en,Uncertainty with quantity
"finished the garlic","{""add"":[],""rm"":[""garlic""]}",en,Completion verb
"add rice beans and corn","{""add"":[""bean"",""corn"",""rice""],""rm"":[]}",en,Multiple additions
"we're out of milk and butter","{""add"":[],""rm"":[""butter"",""milk""]}",en,Plural subject removal
"bought fresh basil and cilantro","{""add"":[""basil"",""cilantro""],""rm"":[]}",en,Fresh qualifier
"need to take out the old lettuce","{""add"":[],""rm"":[""lettuce""]}",en,Removal with qualifier
"j'ai des œufs et du fromage","{""add"":[""cheese"",""egg""],""rm"":[]}",fr,French input
"tengo pollo y arroz","{""add"":[""chicken"",""rice""],""rm"":[]}",es,Spanish input
"I have um potatoes carrots and uh onions","{""add"":[""carrot"",""onion"",""potato""],""rm"":[]}",en,Multiple fillers
"add fucking tomatoes already","{""add"":[""tomato""],""rm"":[]}",en,Rude/frustrated
"remove this shit bread it's moldy","{""add"":[],""rm"":[""bread""]}",en,Vulgar complaint
"I don't give a damn just add pasta","{""add"":[""pasta""],""rm"":[]}",en,Dismissive tone
"the milk is spoiled get rid of it","{""add"":[],""rm"":[""milk""]}",en,Reason for removal
"add chocolate chips cookies and candy","{""add"":[""candy"",""chocolate chip"",""cookie""],""rm"":[]}",en,Sweet items
